LINGUAGENS DE PROGRAMACAO,Organização de Arquivos,Lógica Computacional 1,Probabilidade e Estatística,Trabalho de Graduação 1,Trabalho de Graduação 2,CALCULO NUMERICO,CIRCUITOS DIGITAIS,INTRODUCAO A INTELIGENCIA ARTIFICIAL,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Segurança Computacional
Circuitos Lógicos,Projetos Digitais e Microprocessadores,Algoritmos e Estruturas de Dados III,Introdução a Teoria Geral da Administração,Geometria Analítica I,Estatística II,Introdução à Computação Científica,Engenharia de Requisitos,Redes de Computadores II,Projeto de Software,Inteligência Artificial
Autômatos e Computabilidade,ESTRUTURAS DE DADOS,Fundamentos de Sistemas Operacionais,Introdução aos Sistemas Computacionais,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Projeto e Análise de Algoritmos,SISTEMAS DE INFORMACAO,Teoria e Aplicação de Grafos,Algebra 1,Cálculo 1,Cálculo 2,Fundamentos Teóricos da Computação,INTRODUCAO A ALGEBRA LINEAR,SOFTWARE BASICO,Computação Experimental,INFORMATICA E SOCIEDADE,Algoritmos e Programação de Computadores,BANCOS DE DADOS,Compiladores,ENGENHARIA DE SOFTWARE,Metodologia Científica,Programação Concorrente,Redes de Computadores,Tecnicas de Programação 1,Tecnicas de Programação 2
