Créditos-aula por Núcleo
UFRGS,BCC,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
40,40,8,0,0,64
34,26,12,0,6,54
