Créditos-aula por Núcleo
SBC,BCC,ICMC,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
51,32,12,0,6,47
