Créditos-aula por Núcleo
IME,BCC,UFPE,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
28,40,7,0,0,12
31,17,17,5,0,38
