Créditos-aula por Núcleo
SBC,BCC,IME,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
28,40,7,0,0,12
