Créditos-aula por Núcleo
UFPE,BCC,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
31,17,17,5,0,38
40,40,8,0,0,64
