Créditos-aula por Núcleo
SBC,BCC,UFPE,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
31,17,17,5,0,38
