Créditos-aula por Núcleo
UNB,BCC,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
36,22,4,0,0,44
37,19,7,0,0,40
