Créditos-aula por Núcleo
UNB,BCC,ICMC,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
36,22,4,0,0,44
51,32,12,0,6,47
