Créditos-aula por Núcleo
UFPE,BCC,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
31,17,17,5,0,38
37,19,7,0,0,40
