Créditos-aula por Núcleo
IME,BCC,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
28,40,7,0,0,12
40,40,8,0,0,64
