Créditos-aula por Núcleo
UNB,BCC,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
36,22,4,0,0,44
40,40,8,0,0,64
