Créditos-aula por Núcleo
SBC,BCC,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
37,19,7,0,0,40
