Créditos-aula por Núcleo
ICMC,BCC,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,32,12,0,6,47
40,40,8,0,0,64
