Créditos-aula por Núcleo
ICMC,BCC,UFPE,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,32,12,0,6,47
31,17,17,5,0,38
