Créditos-aula por Núcleo
UNB,BCC,IME,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
36,22,4,0,0,44
28,40,7,0,0,12
