Créditos-aula por Núcleo
ICMC,BSI,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,16,20,0,0,32
40,40,8,0,0,64
