Créditos-aula por Núcleo
ICMC,BSI,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,16,20,0,0,32
34,26,12,0,6,54
