Créditos-aula por Núcleo
UNB,BCC,UFPE,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
36,22,4,0,0,44
31,17,17,5,0,38
