Créditos-aula por Núcleo
SBC,BCC,UNB,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
36,22,4,0,0,44
