Créditos-aula por Núcleo
UFRGS,BCC,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
40,40,8,0,0,64
37,19,7,0,0,40
