Créditos-aula por Núcleo
IME,BCC,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
28,40,7,0,0,12
37,19,7,0,0,40
