Créditos-aula por Núcleo
SBC,BCC,UFRGS,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
40,40,8,0,0,64
