Créditos-aula por Núcleo
UFPE,BCC,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
31,17,17,5,0,38
34,26,12,0,6,54
