Créditos-aula por Núcleo
ICMC,BSI,UFPR,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,16,20,0,0,32
37,19,7,0,0,40
