Créditos-aula por Núcleo
ICMC,BCC,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,32,12,0,6,47
34,26,12,0,6,54
