Créditos-aula por Núcleo
ICMC,BSI,ICMC,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,16,20,0,0,32
51,32,12,0,6,47
