Créditos-aula por Núcleo
ICMC,BCC,IME,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,32,12,0,6,47
28,40,7,0,0,12
