Créditos-aula por Núcleo
ICMC,BSI,UFPE,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
51,16,20,0,0,32
31,17,17,5,0,38
