Créditos-aula por Núcleo
IME,BCC,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
28,40,7,0,0,12
34,26,12,0,6,54
