Créditos-aula por Núcleo
UFPR,BCC,PUC-RIO,BCC
Fundamentos da Computação,Matemática,Contexto Social e Profissional,Eletrônica,Ciências Básicas,Tecnologia da Computação
37,19,7,0,0,40
34,26,12,0,6,54
