Créditos-aula por Núcleo
SBC,Eng. Comp.,SBC,BCC
Contexto Social e Profissional,Fundamentos da Computação,Matemática,Eletrônica,Ciências Básicas,Tecnologia da Computação
0,0,0,0,0,0
0,0,0,0,0,0
